correlation_id,legal_ref_id,gds_id
1074535596,120001,374-6-1
1075328394,1120001,375-6-1
1075328989,1460001,378-5-1
1075327978,200001,379-1-1
1074535400,1030002,381-2-1
1084072830,1030004,381-4-1
1084210087,1940002,381-3-1
1075328996,1500001,388-5-1
1084015168,1500002,388-4-1
1083732751,1500003,388-3-1
1084113789,940001,389-5-1
1084158580,590001,390-7-1
1075328226,820001,391-3-1
1096944706,600001,392-3-1
1084061719,780001,393-4-1
1080509283,785001,393-3-2
1083732665,1621001,395-3-1
1085312082,1590001,400-5-1
1084015407,1590002,400-4-1
1080509167,1590003,400-3-1
1075329003,1520001,521-5-1
1084062657,1520002,521-3-1
1075328164,930001,616-5-1
1075396479,350001,646-5-1
1084129674,1580001,647-5-1
1084062157,1580003,647-4-1
1075396444,720001,648-5-1
1084062157,720003,648-4-1
1084015443,1591001,678-4-1
1075328164,290001,679-5-1
1080509134,920001,679-3-1
1097364854,2000001,679-4-1
1075329002,1610001,680-5-1
1083733180,1610002,680-4-1
1080526062,1610003,680-3-1
1075328602,1480002,682-3-1
1083733037,660002,694-4-1
1075328215,660241,694-5-1
1084405697,1510001,695-5-1
1075328443,1390001,696-6-1
1075329031,1390002,696-4-1
1075328644,1810001,699-6-1
1074536023,1810002,696-4-1
1084061747,140004,706-4-1
1084061933,142001,706-1-1
1084085987,142002,706-2-1
1084128926,410001,707-6-1
1083742893,1140002,708-3-1
1084001827,240001,739-3-1
1075328769,1470001,739-5-1
1075328769,1470002,739-4-1
1084211225,1600001,742-3-1
1084062742,1600002,742-5-1
1075328171,300001,743-6-1
1096952030,300002,746-4-1
1075328392,1050001,744-5-1
1084144464,1050002,744-3-1
1083741527,270131,797-5-1
1075328409,1570001,810-6-1
1084032917,1570002,810-4-1
1083742337,1440001,842-6-1
1083741773,1440002,842-4-1
1083740928,1790001,843-6-1
1075429257,1160001,860-5-1
1083741306,1170001,860-3-1
1075328354,990002,866-5-1
1084033025,710001,898-5-1
1075328216,710002,898-3-1
1084061881,710003,898-4-1
1085389423,1300001,920-1-1
1074534903,1300002,920-2-1
1083733002,1300003,920-3-1
1096999611,610001,1067-3-1
1084001829,800001,1067-3-2
1084001831,970001,1067-3-3
1083741393,1040001,1071-3-1
1083741799,1620001,1071-5-1
1083740451,1090001,1077-6-1
1085593966,1800001,1078-3-1
1083741032,730001,1160-6-1
1084062744,1000001,1161-3-1
1085978026,10001,1163-6-1
1084062891,1290001,1164-1-1
1083732903,1290003,1164-3-1
1084086190,1290004,1164-4-1
1075327974,30001,1165-6-1
1074534657,60001,1168-7-1
1084033266,130002,1173-4-1
1084062197,140501,1174-4-1
1084062179,141001,1175-4-1
1081626771,671001,1177-7-1
1081626771,673001,1177-7-2
1084033178,160001,1178-1-1
1084033178,160002,1178-2-1
1084176966,170001,1179-1-1
1084176990,170002,1179-2-1
1074534641,181001,1180-8-1
1084015301,181002,1180-4-1
1074534687,1240001,1181-7-1
1074534702,220001,1184-7-1
1074534702,22000156,1184-7-3
1084128892,230001,1185-5-1
1084061668,230002,1185-3-1
1084061704,230003,1185-4-1
1084114240,262001,1187-5-1
1074535159,260001,1188-6-1
1084061623,320001,1191-2-1
1085389692,320002,1191-1-1
1083732968,320003,1191-3-1
1084033278,320004,1191-4-1
1084061614,1840001,1191-4-2
1075328601,440001,1201-5-1
1084032874,460001,1203-1-1
1084032874,460002,1203-4-1
1084032874,460003,1203-3-1
1084032874,460004,1203-2-1
1074534931,1310001,1204-1-1
1084099650,1310004,1204-4-1
1084088209,480001,1205-6-1
1084011763,480002,1205-4-1
1084126531,491001,1209-5-1
1087107135,491002,1209-3-1
1085890732,500001,1210-5-1
1085318820,401001,1211-3-1
1074534962,570001,1213-7-1
1074535039,620001,1215-6-1
1084100404,620002,1215-4-1
1074535039,630001,1216-6-1
1084063424,630002,1216-4-1
1074535039,640001,1217-6-1
1084100404,640002,1217-4-1
1084086387,650002,1218-4-1
1074535639,770001,1222-1-1
1074535639,770002,1222-2-1
1083742585,770003,1222-3-1
1083733104,770004,1222-4-1
1074535695,750002,1223-2-1
1084970249,210002,1225-5-1
1083741364,210003,1225-4-1
1084970249,21000265,1225-3-1
1074535201,810001,1227-1-1
1074535201,810002,1227-2-1
1084062241,810004,1227-4-1
1084145511,830001,1228-5-1
1084129303,840001,1229-5-1
1084109647,850001,1230-5-1
1084109647,850002,1230-3-1
1084109647,850003,1230-4-1
1084063366,860004,1231-4-1
1084062630,880001,1233-7-1
1084110162,910001,1235-5-1
1084110162,910002,1235-3-1
1074535235,980001,1239-7-1
1074535389,1020001,1241-7-1
1084128028,510001,1242-7-1
1075328160,1180001,1245-7-1
1074535596,1190001,1246-6-1
1084063281,1370001,1250-5-1
1074535654,1320001,1251-1-1
1084022918,1320004,1251-4-1
1074535649,1330001,1252-1-1
1084072735,1330004,1252-4-1
1084140798,1410001,1254-7-1
1084033310,1420001,1255-7-1
1083742337,1430001,1256-6-1
1083741719,1430002,1256-4-1
1087626122,1450002,1257-2-1
1084001825,1530001,1258-6-1
1084062175,1530002,1258-4-1
1084176477,1531001,1259-5-1
1084128372,1540001,1260-5-1
1084063256,1540002,1260-3-1
1084176885,1540003,1260-4-1
1084128787,1560004,1262-4-1
1083733152,1330003,1263-3-1
1084109734,1640001,1265-5-1
1083741107,1340001,1268-7-1
1075328611,1710001,1270-5-1
1084015070,1720001,1271-5-1
1084022770,1720002,1271-3-1
1084033223,1720003,1271-4-1
1084022770,1770002,1275-3-1
1084062087,1770003,1275-4-1
1075328372,1060001,1278-5-1
1075328372,1060002,1278-3-1
1084063031,1060003,1278-4-1
1075328422,370001,1280-5-1
1084014889,370003,1280-4-1
1097052635,441001,1280-3-1
1084061788,140101,1292-6-1
1084155871,180001,1293-1-1
1084113789,941111,1294-5-1
1084129673,1400001,1295-3-1
1081635380,1250001,1296-5-1
1083740317,1250002,1296-4-1
1084032969,1250003,1296-3-1
1084109778,1850001,1309-1-1
1084109967,1852001,1310-1-1
1084110066,1851001,1311-1-1
1084126531,491201,1312-5-1
1084126531,491101,1313-5-1
1087833134,491501,1314-5-1
1087833134,49150158,1314-5-1
1087833134,49150161,1314-5-1
1087833171,491401,1315-5-1
1087833152,491301,1316-5-1
1074535057,653001,1317-6-1
1074535057,652001,1318-6-1
1074535057,655001,1319-6-1
1074535057,656001,1320-6-1
1074535057,654001,1321-6-1
1074535039,625001,1322-6-1
1084062846,1830001,1323-4-1
1083742568,1761002,1325-3-1
1084061625,890004,1326-4-1
1083742890,1130002,1327-3-1
1083742635,1552001,1329-3-1
1084146142,1550002,1330-3-1
1084110661,1900001,1332-7-1
1084140848,1880001,1333-6-1
1084063333,1890001,1334-4-1
1085890732,501001,1336-5-1
1084011528,261502,1340-3-1
1084011528,1862001,1341-3-1
1084011528,1864001,1342-3-1
1084130935,1950001,1343-3-1
1084131582,1960001,1344-4-1
1085978206,2010001,1348-5-1
1085378898,2020001,1349-3-1
1085978187,2030001,1350-4-1
1074534825,1970001,1351-1-1
1085389423,1990001,1353-1-1
1085378903,2060001,1354-5-1
1085378649,2050001,1356-4-1
