legal ref nr,Formality_name,LGSL_ID,Legislation,Numeric_Admins,New code?
1910001,Miscellaneous Payments (1910001),349,None - special formality to pay fee shortfalls,7,349-7-1
1910301,Miscellaneous Payments (1910301),349,None - special formality to pay fee shortfalls,7,349-7-1
120001,Animal boarding establishment licence (120001),374,Animal Boarding Establishments Act 1963,6,374-6-1
120002,Animal boarding establishments (120002),374,Welfare of Animals Act (NI) 1972,4,374-4-1
120301,Animal boarding establishment licence (120301),374,Animal Boarding Establishments Act 1963,6,374-6-1
1120001,Pet shop licence (1120001),375,Pet Animals Act 1951,6,375-6-1
1120301,Pet shop licence (1120301),375,Pet Animals Act 1951,6,375-6-1
1460001,Scrap metal dealer registration (1460001),378,Scrap Metal Dealers' Act 1964,5,378-5-1
1460301,Scrap metal dealer registration (1460301),378,Scrap Metal Dealers' Act 1964,5,378-5-1
200001,Auction premises registration (200001),379,Greater London Council (general Powers) act 1984 Part VI,1,379-1-1
200111,Auction premises registration (200111),379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200131,Auction premises registration (200131),379,South Yorkshire Act 1980,1,379-1-1
200151,Auction premises registration (200151),379,Nottingham City Council Act 2003,1,379-1-1
200161,Auction premises registration (200161),379,County of Lancashire Act 1984,1,379-1-1
200171,Auction premises registration (200161),379,Humberside Act 1982,1,379-1-1
200301,Auction premises registration (200301),379,Greater London Council (general Powers) act 1984 Part VI,1,379-1-1
200411,Auction premises registration (200411),379,Landlord and Tenants Act 1954 Part 2,1,379-1-1
200431,Auction premises registration (200431),379,South Yorkshire Act 1980,1,379-1-1
200451,Auction premises registration (200451),379,Nottingham City Council Act 2003,1,379-1-1
200461,Auction premises registration (200461),379,County of Lancashire Act 1984,1,379-1-1
200471,Auction premises registration (200471),379,Humberside Act 1982,1,379-1-1
1030001,Nursing agency (1030001),381,Care Standards Act 2000,1,381-1-1
1030002,Nursing agency (1030002),381,Care Standards Act 2000,2,381-2-1
1030003,Nurse agency (1030003),381,Regulation of Care (Scotland) Act 2001,3,381-3-1
1030004,Nursing agency (1030004),381,tbd,4,381-4-1
1940001,Occupation of the road in connection with building work (1940001),382,Highways Act 1980,5,382-5-1
1940002,Occupation of the road in connection with building work (1940002),382,Roads (Scotland) Act 1984,3,381-3-1
1940301,Occupation of the road in connection with building work (1940301),382,Highways Act 1980,5,382-5-1
1940302,Occupation of the road in connection with building work (1940302),382,Roads (Scotland) Act 1984,3,381-3-1
1500001,Sex shop and cinema licence (1500001),388,Local Government (Miscellaneous Provisions) Act 1982,5,388-5-1
1500002,Sex establishment / sex cinema (1500002),388,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)) Schedule 2,4,388-4-1
1500003,Sex shop (1500003),388,"Civic Government (Scotland) Act 1982, Section 45",3,388-3-1
1500301,Sex shop and cinema licence (1500301),388,Local Government (Miscellaneous Provisions) Act 1982,5,388-5-1
1500302,Sex establishment / sex cinema (1500302),388,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)) Schedule 2,4,388-4-1
1500303,Sex shop (1500303),388,"Civic Government (Scotland) Act 1982, Section 45",3,388-3-1
940001,Massage and special treatment premises licensing (940001),389,Byelaw under Local Government(Miscellaneous Provisions) Act 1982,5,389-5-1
940111,Massage and special treatment premises licensing (940111),389,Essex Act 1987,5,389-5-1
940121,Massage and special treatment premises licensing (940121),389,London Local Authorities Act 1991,1,389-1-1
940131,Massage and special treatment premises licensing (940131),389,Nottinghamshire County Council Act 1985,1,389-1-1
940171,Massage and special treatment premises licensing (940171),389,London County Council (General Powers) Act 1920,1,389-1-1
940172,Massage and special treatment premises licensing (940172),389,Worcester City Council Act 1985,5,389-5-1
940173,Massage and special treatment premises licensing (940173),389,Birmingham City Council Act 1990,5,389-5-1
940301,Massage and special treatment premises licensing (940301),389,Byelaw under Local Government(Miscellaneous Provisions) Act 1982,5,389-5-1
940411,Massage and special treatment premises licensing (940411),389,Essex Act 1987,5,389-5-1
940421,Massage and special treatment premises licensing (940421),389,London Local Authorities Act 1991,1,389-1-1
940431,Massage and special treatment premises licensing (940431),389,Nottinghamshire County Council Act 1985,1,389-1-1
940471,Massage and special treatment premises licensing (940471),389,London County Council (General Powers) Act 1920,1,389-1-1
940472,Massage and special treatment premises licensing (940472),389,Worcester City Council Act 1985,5,389-5-1
940473,Massage and special treatment premises licensing (940473),389,Birmingham City Council Act 1990,5,389-5-1
590001,Food premises registration (590001),390,EC Regulation 852/2004 (Food Premises),7,390-7-1
590301,Food premises registration (590301),390,EC Regulation 852/2004 (Food Premises),6,remove
9999994,Application to demonstrate form creation (9999994),390,<----- This shows where legislation goes- can be 200 characters max----->,7,remove
820001,Late hours catering licence (820001),391,"Civic Government (Scotland) Act 1982, Section 42",3,391-3-1
820301,Late hours catering licence (820301),391,"Civic Government (Scotland) Act 1982, Section 42",3,391-3-1
600001,Venison dealer licence (600001),392,Deer (Scotland) Act 1966,3,392-3-1
780001,Entertainment (780001),393,Local Government (Miscellaneous Provisions) (Northern Ireland)- Order 1985,4,393-4-1
780002,Indoor sports entertainment licence (780002),393,"Civic Government (Scotland) Act 1982, Section 41A",3,393-3-1
780301,Entertainment (780301),393,Local Government (Miscellaneous Provisions) (Northern Ireland)- Order 1985,4,393-4-1
780302,Indoor sports entertainment licence (780302),393,"Civic Government (Scotland) Act 1982, Section 41A",3,393-3-1
785001,Public entertainment licence (785001),393,"Civic Government (Scotland) Act 1982, Section 41",3,393-3-2
785301,Public entertainment licence (785301),393,"Civic Government (Scotland) Act 1982, Section 41",3,393-3-2
1621001,Theatre licence (1621001),395,Theatres Act 1968,3,395-3-1
1621301,Theatre licence (1621301),395,Theatres Act 1968,3,395-3-1
1590001,Street trading licence (1590001),400,Local Government (Miscellaneous Provisions) Act 1982,5,400-5-1
1590002,Street trading licence (1590002),400,Street Trading Act (Northern Ireland) 2001,4,400-4-1
1590003,Street trader's licence (1590003),400,"Civic Government (Scotland) Act 1982, Section 39",3,400-3-1
1590011,Street trading licence (1590011),400,London Local Authorities Act 1991 as amended,1,400-1-1
1590021,Street trading licence (1590021),400,London Local Authorities Act 1990,1,400-1-1
1590031,Street trading licence (1590031),400,London Local Authorities Act 1990 as amended,1,400-1-1
1590041,Street trading licence (1590041),400,City of London (Various Powers) Act 1987 Part III,1,400-1-1
1590051,Street trading licence (1590051),400,London Local Authorities Act 1994 as amended,1,400-1-1
1590061,Street trading licence (1590061),400,Hampshire Act 1983 Section 7,1,400-1-1
1590071,Street trading licence (1590071),400,City of Newcastle Upon Tyne Act 2000,5,400-5-1
1590081,Street trading licence (1590081),400,City of Westminster Act 1999,5,400-5-1
1590301,Street trading licence (1590301),400,Local Government (Miscellaneous Provisions) Act 1982,5,400-5-1
1590302,Street trading licence (1590302),400,Street Trading Act (Northern Ireland) 2001,4,400-4-1
1590303,Street trader's licence (1590303),400,"Civic Government (Scotland) Act 1982, Section 39",3,400-3-1
1590311,Street trading licence (1590311),400,London Local Authorities Act 1991 as amended,1,400-1-1
1590321,Street trading licence (1590321),400,London Local Authorities Act 1990,1,400-1-1
1590331,Street trading licence (1590331),400,London Local Authorities Act 1990 as amended,1,400-1-1
1590341,Street trading licence (1590341),400,City of London (Various Powers) Act 1987 Part III,1,400-1-1
1590351,Street trading licence (1590351),400,London Local Authorities Act 1994 as amended,1,400-1-1
1590361,Street trading licence (1590361),400,Hampshire Act 1983 Section 7,1,400-1-1
1590371,Street trading licence (1590371),400,City of Newcastle Upon Tyne Act 2000,5,400-5-1
1590381,Street trading licence (1590381),400,City of Westminster Act 1999,5,400-5-1
1520001,Skip licence (1520001),521,"Highways Act 1980, Section 139",5,521-5-1
1520002,Skip licence (1520002),521,"Roads (Scotland) Act 1984,  Section 85",3,521-3-1
1520301,Skip licence (1520301),521,"Highways Act 1980, Section 139",5,521-5-1
1520302,Skip licence (1520302),521,"Roads (Scotland) Act 1984,  Section 85",3,521-3-1
930001,Market stall licence (930001),616,Markets and Fairs Clauses Act 1847,5,616-5-1
930111,Market stall licence (930111),616,By Royal Charter,5,616-5-1
930121,Market stall licence (930121),616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930131,Market stall licence (930131),616,London Local Authorities Act 1990,5,616-5-1
930141,Market stall licence (930141),616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930151,Market stall licence (930151),616,City of London (Various Powers) Act 1987 Part III,1,616-1-1
930161,Market stall licence (930161),616,London Local Authorities Act 1990 as amended,5,616-5-1
930171,Market stall licence (930171),616,Byelaws made under S61 of Food and Drugs Act 1955 (as replaced by S60 of Food Act 1984),5,616-5-1
930181,Market stall licence (930181),616,Highways Act 1980 Section 115E,5,616-5-1
930201,Market stall licence (930201),616,"Hitchin Market Tolls 1882, Food Act 1984",5,616-5-1
930211,Market stall licence (930211),616,Local Land Authorities Act 1990,5,616-5-1
930212,Market stall licence (930212),616,Tyne & Wear Act 1976,5,616-5-1
930213,Market stall licence (930213),616,Northampton Act 1988,5,616-5-1
930214,Market stall licence (930214),616,Barnstaple Markets Act 1852,5,616-5-1
930215,Market stall licence (930215),616,Norwich City Council Act 1984,5,616-5-1
930216,Market stall licence (930216),616,By Market Charter,5,616-5-1
930217,Market stall licence (930217),616,Food Act 1984,5,616-5-1
930218,Market stall licence (930218),616,Sheffield Markets Act 1872,5,616-5-1
930219,Market stall licence (930219),616,Fenland District Council Market Byelaws 1-10-92,5,616-5-1
930301,Market stall licence (930301),616,Markets and Fairs Clauses Act 1847,5,616-5-1
930411,Market stall licence (930411),616,By Royal Charter,5,616-5-1
930421,Market stall licence (930421),616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930431,Market stall licence (930431),616,London Local Authorities Act 1990,5,616-5-1
930441,Market stall licence (930441),616,Local Government (Miscellaneous Provisions) Act 1982,5,616-5-1
930451,Market stall licence (930451),616,City of London (Various Powers) Act 1987 Part III,1,616-5-1
930461,Market stall licence (930461),616,London Local Authorities Act 1990 as amended,5,616-5-1
930471,Market stall licence (930471),616,Byelaws made under S61 of Food and Drugs Act 1955 (as replaced by S60 of Food Act 1984),5,616-5-1
930481,Market stall licence (930481),616,Highways Act 1980 Section 115E,5,616-5-1
930501,Market stall licence (930501),616,"Hitchin Market Tolls 1882, Food Act 1984",5,616-5-1
930511,Market stall licence (930511),616,Local Land Authorities Act 1990,5,616-5-1
930512,Market stall licence (930512),616,Tyne & Wear Act 1976,5,616-5-1
930513,Market stall licence (930513),616,Northampton Act 1988,5,616-5-1
930514,Market stall licence (930514),616,Barnstaple Markets Act 1852,5,616-5-1
930515,Market stall licence (930515),616,Norwich City Council Act 1984,5,616-5-1
930516,Market stall licence (930516),616,By Market Charter,5,616-5-1
930517,Market stall licence (930517),616,Food Act 1984,5,616-5-1
930518,Market stall licence (930518),616,Sheffield Markets Act 1872,5,616-5-1
930519,Market stall licence (930519),616,Fenland District Council Market Byelaws 1-10-92,5,616-5-1
930814,Market stall licence (930514),616,Barnstaple Markets Act 1852,5,616-5-1
350001,Club licensing (350001),646,Licensing Act 2003,5,646-5-1
350003,Club licensing (350003),646,Registration of Clubs (NI) Order 1196,4,646-4-1
350301,Club licensing (350301),646,Licensing Act 2003,5,646-5-1
1580001,Street collection licence (1580001),647,"Police, Factories etc- (Miscellaneous Provisions) Act 1916",5,647-5-1
1580002,Charitable collection permit (1580002),647,"Civic Government (Scotland) Act 1982, Section 119 and The Public Charitable Collections (Scotland) Regulations 1984, as amended by The Public Charitable Collections (Scotland) Amendment Regulations 1988-",3,647-3-1
1580003,Street collection (1580003),647,"Police, Factories etc- (Miscellaneous Provisions) Act 1916",4,647-4-1
1580301,Street collection licence (1580301),647,"Police, Factories etc- (Miscellaneous Provisions) Act 1916",5,647-5-1
1580302,Charitable collection permit (1580302),647,"Civic Government (Scotland) Act 1982, Section 119 and The Public Charitable Collections (Scotland) Regulations 1984, as amended by The Public Charitable Collections (Scotland) Amendment Regulations 1988-",3,647-3-1
158000122,Street collection licence (158000122),647,"Police, Factories etc- (Miscellaneous Provisions) Act 1916",5,647-5-1
720001,House to house collection licence (720001),648,House to House Collection Act 1939 and the House to House Regulations 1947,5,648-5-1
720003,House to house collection (720003),648,House to House Collections Act (NI) 1952,4,648-4-1
720301,House to house collection licence (720301),648,House to House Collection Act 1939 and the House to House Regulations 1947,5,648-5-1
72000122,House to house collection licence (72000122),648,House to House Collection Act 1939 and the House to House Regulations 1947,5,648-5-1
1591001,Sunday trading (1591001),678,Shops (Sunday Trading &c-) (NI) Order 1997,4,678-4-1
1591301,Sunday trading (1591301),678,Shops (Sunday Trading &c-) (NI) Order 1997,4,678-4-1
290001,Car boot sale authorisation (290001),679,Local Government (Miscellaneous Provisions) Act 1982,5,679-5-1
290011,Car boot sale authorisation (290011),679,County of Cleveland Act 1987,1,679-1-1
290031,Car boot sale authorisation (290031),679,London Local Authorities Act 1991 as amended,1,679-1-1
290041,Car boot sale authorisation (290041),679,By Royal Charter,5,679-5-1
290061,Car boot sale authorisation (290061),679,County of Kent Act 2001,5,679-5-1
290071,Car boot sale authorisation (290071),679,London Local Authorities Act 1996,5,679-5-1
290072,Car boot sale authorisation (290072),679,Medway Act 2001,5,679-5-1
290074,Car boot sale authorisation (290074),679,London Local Authority Act 1996,5,679-5-1
290301,Car boot sale authorisation (290301),679,Local Government (Miscellaneous Provisions) Act 1982,5,679-5-1
290311,Car boot sale authorisation (290311),679,County of Cleveland Act 1987,1,679-1-1
290331,Car boot sale authorisation (290331),679,London Local Authorities Act 1991 as amended,1,679-1-1
290341,Car boot sale authorisation (290341),679,By Royal Charter,5,679-5-1
290361,Car boot sale authorisation (290361),679,County of Kent Act 2001,5,679-5-1
290371,Car boot sale authorisation (290371),679,London Local Authorities Act 1996,5,679-5-1
290372,Car boot sale authorisation (290372),679,Medway Act 2001,5,679-5-1
290374,Car boot sale authorisation (290374),679,London Local Authority Act 1996,5,679-5-1
920001,Market operators licence (920001),679,"Civic Government (Scotland) Act 1982, Section 40",3,679-3-1
920301,Market operators licence (920301),679,"Civic Government (Scotland) Act 1982, Section 40",3,679-3-1
2000001,Market Operator (2000001),679,"The Sales, Markets and Lairs order (Northern Ireland) 1975",4,679-4-1
1610001,"Tattooists, piercing and electrolysis licence (1610001)",680,Local Government (Miscellaneous Provisions) Act 1982,5,680-5-1
1610002,"Tattooists, piercing and electrolysis licence (1610002)",680,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)),4,680-4-1
1610003,Skin piercing and tattooing (1610003),680,"Civic Government (Scotland) Act 1982, Section 44",3,680-3-1
1610111,"Tattooists, piercing and electrolysis licence (1610111)",680,London Local Authorities Act 1991,1,680-1-1
1610161,"Tattooists, piercing and electrolysis licence (1610161)",680,Local Government (Miscellaneous Provisions) Act 1982 as amended by local byelaw,5,680-5-1
1610162,"Tattooists, piercing and electrolysis licence (1610162)",680,City of Newcastle Upon Tyne Act 2000,5,680-5-1
1610163,"Tattooists, piercing and electrolysis licence (1610163)",680,Local Government (Miscellaneous Provisions) Act 1982 as amended by the Local Government Act 2003,5,680-5-1
1610301,"Tattooists, piercing and electrolysis licence (1610301)",680,Local Government (Miscellaneous Provisions) Act 1982,5,680-5-1
1610302,"Tattooists, piercing and electrolysis licence (1610302)",680,Local Government (Miscellaneous Provisions) (Northern Ireland) Order 1985 (No- 1208 (N-I- 15)),4,680-4-1
1610303,Skin piercing and tattooing (1610303),680,"Civic Government (Scotland) Act 1982, Section 44",3,680-3-1
1610411,"Tattooists, piercing and electrolysis licence (1610411)",680,London Local Authorities Act 1991,1,680-1-1
1610461,"Tattooists, piercing and electrolysis licence (1610461)",680,Local Government (Miscellaneous Provisions) Act 1982 as amended by local byelaw,5,680-5-1
1610462,"Tattooists, piercing and electrolysis licence (1610462)",680,City of Newcastle Upon Tyne Act 2000,5,680-5-1
1610463,"Tattooists, piercing and electrolysis licence (1610463)",680,Local Government (Miscellaneous Provisions) Act 1982 as amended by the Local Government Act 2003,5,680-5-1
1480001,Second hand dealers (1480001),682,County of Cleveland Act 1987,1,682-1-1
1480002,Second hand dealers registration (1480002),682,Civic Government (Scotland) Act 1982 (sections 24 to 27),3,682-3-1
1480111,Second hand dealers (1480111),682,County of Lancashire Act 1984,1,682-1-1
1480121,Second hand dealers (1480121),682,County of Merseyside Act 1980,1,682-1-1
1480141,Second hand dealers (1480141),682,Greater Manchester Act 1981,1,682-1-1
1480151,Second hand dealers (1480151),682,Humberside Act 1982,1,682-1-1
1480171,Second hand dealers (1480171),682,Medway Act 2001,1,682-1-1
1480191,Second hand dealers (1480191),682,Nottingham City Council Act 2003,1,682-1-1
1480201,Second hand dealers (1480201),682,South Yorkshire Act 1980,1,682-1-1
1480202,Second hand dealers (1480202),682,City of Newcastle Upon Tyne Act 2000,1,682-1-1
1480203,Second hand dealers (1480203),682,Worcester City Council Act 1985,1,682-1-1
1480301,Second hand dealers (1480301),682,County of Cleveland Act 1987,1,682-1-1
1480302,Second hand dealers registration (1480302),682,Civic Government (Scotland) Act 1982 (sections 28 and 30),3,682-3-1
1480411,Second hand dealers (1480411),682,County of Lancashire Act 1984,1,682-1-1
1480421,Second hand dealers (1480421),682,County of Merseyside Act 1980,1,682-1-1
1480441,Second hand dealers (1480441),682,Greater Manchester Act 1981,1,682-1-1
1480451,Second hand dealers (1480451),682,Humberside Act 1982,1,682-1-1
1480471,Second hand dealers (1480471),682,Medway Act 2001,1,682-1-1
1480491,Second hand dealers (1480491),682,Nottingham City Council Act 2003,1,682-1-1
1480501,Second hand dealers (1480501),682,South Yorkshire Act 1980,1,682-1-1
1480502,Second hand dealers (1480502),682,City of Newcastle Upon Tyne Act 2000,1,682-1-1
1480503,Second hand dealers (1480503),682,Worcester City Council Act 1985,1,682-1-1
660001,Hairdresser registration (660001),694,Greater London Council (General Powers) Act 1967,1,694-1-1
660002,Hairdresser licence (660002),694,Hairdressers Act 1939 (Northern Ireland),4,694-4-1
660111,Hairdresser registration (660111),694,Berkshire Act 1986,1,694-1-1
660121,Hairdresser registration (660121),694,County of Cleveland Act 1987,1,694-1-1
660131,Hairdresser registration (660131),694,County of Kent Act 1981,1,694-1-1
660141,Hairdresser registration (660141),694,County of Merseyside Act 1980,1,694-1-1
660151,Hairdresser registration (660151),694,Greater Manchester Act 1981,1,694-1-1
660161,Hairdresser registration (660161),694,Hampshire Act 1983,1,694-1-1
660181,Hairdresser registration (660181),694,Leicestershire Act 1985,1,694-1-1
660191,Hairdresser registration (660191),694,Plymouth City Council Act 1987,1,694-1-1
660201,Hairdresser registration (660201),694,South Yorkshire Act 1980,1,694-1-1
660211,Hairdresser registration (660211),694,Staffordshire Act 1983,1,694-1-1
660221,Hairdresser registration (660221),694,West Glamorgan Act 1987,2,694-2-1
660231,Hairdresser registration (660231),694,West Midlands County Council Act 1980,1,694-1-1
660241,Hairdresser registration (660241),694,Byelaws made under section 77 of the Public Health Act 1961,5,694-5-1
660242,Hairdresser registration (660242),694,Worcester City Council Act 1985,1,694-1-1
660301,Hairdresser registration (660301),694,Greater London Council (General Powers) Act 1967,1,694-1-1
660302,Hairdresser licence (660302),694,Hairdressers Act 1939 (Northern Ireland),4,694-4-1
660411,Hairdresser registration (660411),694,Berkshire Act 1986,1,694-1-1
660421,Hairdresser registration (660421),694,County of Cleveland Act 1987,1,694-1-1
660431,Hairdresser registration (660431),694,County of Kent Act 1981,1,694-1-1
660441,Hairdresser registration (660441),694,County of Merseyside Act 1980,1,694-1-1
660451,Hairdresser registration (660451),694,Greater Manchester Act 1981,1,694-1-1
660461,Hairdresser registration (660461),694,Hampshire Act 1983,1,694-1-1
660481,Hairdresser registration (660481),694,Leicestershire Act 1985,1,694-1-1
660491,Hairdresser registration (660491),694,Plymouth City Council Act 1987,1,694-1-1
660501,Hairdresser registration (660501),694,South Yorkshire Act 1980,1,694-1-1
660511,Hairdresser registration (660511),694,Staffordshire Act 1983,1,694-1-1
660521,Hairdresser registration (660521),694,West Glamorgan Act 1987,2,694-2-1
660531,Hairdresser registration (660531),694,West Midlands County Council Act 1980,1,694-1-1
660541,Hairdresser registration (660541),694,Byelaws made under section 77 of the Public Health Act 1961,5,694-5-1
660542,Hairdresser registration (660542),694,Worcester City Council Act 1985,1,694-1-1
1510001,Skip operator licence (1510001),695,"Highways Act 1980, Section 139",5,695-5-1
1510301,Skip operator licence (1510301),695,"Highways Act 1980, Section 139",5,695-5-1
1390001,Riding establishment licence (1390001),696,Riding Establishments Act 1964,6,696-6-1
1390002,Riding establishment (1390002),696,Welfare of Animals Act(NI) 1972,4,696-4-1
1390301,Riding establishment licence (1390301),696,Riding Establishments Act 1964,6,696-6-1
1810001,Zoo licence (1810001),699,Zoo Licensing Act 1981,6,699-6-1
1810002,Zoo licence (1810002),699,Zoos Licensing Regulations (Northern Ireland) 2003,4,696-4-1
1810301,Zoo licence (1810301),699,Zoo Licensing Act 1981,6,699-6-1
140004,Animal movement notification  (140004),706,"Council Regulation (EC) 21/2004- The Sheep and Goats (Records, Identification and Movement) Order (Northern Ireland) 2005 (S-R- 535) & for Cattle Council Regulation (EC) No- 1760/2000",4,706-4-1
140201,Animal movement (sheep/goat) notification (140201),706,"Disease Control (Interim Measures) (Scotland) Order SSI 2002/34, as most recently amended by The Disease Control (Interim Measures) (Scotland) Amendment (No- 3) Order 2007",3,706-3-1
142001,Animal Movement (142001),706,Disease Control (England) Order 2003,1,706-1-1
142002,Animal Movement (142002),706,tbd,2,706-2-1
142003,Animal Movement (142003),706,tbd,3,706-3-1
410001,Cooling tower notification (410001),707,Notification of Cooling Towers and Evaporative Condensers Regulations 1992,6,707-6-1
410002,Cooling tower notification (410002),707,Notification of cooling towers and evaporative condensers regulations (NI) 1994,4,707-4-1
410301,Cooling tower notification (410301),707,Notification of Cooling Towers and Evaporative Condensers Regulations 1992,6,707-6-1
410302,Cooling tower notification (410302),707,Notification of cooling towers and evaporative condensers regulations (NI) 1994,4,707-4-1
1140002,Pollution prevention and control(PPC)- Part B (1140002),708,Pollution Prevention and Control (Scotland) Regulations 2000,3,708-3-1
240001,Boat hire licence (240001),739,"Civic Government (Scotland) Act 1982, Section 38",3,739-3-1
240301,Boat hire licence (240301),739,"Civic Government (Scotland) Act 1982, Section 38",3,739-3-1
1470001,Pleasure boats (1470001),739,Public Health Acts Amendment Act 1907 section 94,5,739-5-1
1470002,Pleasure boats (1470002),739,Public Health Acts Amendment Act 1907 section 94,4,739-4-1
1470011,Pleasure boats (1470011),739,Cheshire County Council Act 1980,5,739-5-1
1470301,Pleasure boats (1470301),739,Public Health Acts Amendment Act 1907 section 94,5,739-5-1
1470302,Pleasure boats (1470302),739,Public Health Acts Amendment Act 1907 section 94,4,739-4-1
1470311,Pleasure boats (1470311),739,Cheshire County Council Act 1980,5,739-5-1
1600001,Permission to place tables and chairs in the road (1600001),742,"Roads (Scotland) Act 1984,  Section 59",3,742-3-1
1600002,Ability to place tables and chairs in the road (1600002),742,"Highways Act 1980, Section 115B /115E",5,742-5-1
1600301,Permission to place tables and chairs in the road (1600301),742,"Roads (Scotland) Act 1984,  Section 59",3,742-3-1
1600302,Ability to place tables and chairs in the road (1600302),742,"Highways Act 1980, Section 115B /115E",5,742-5-1
300001,Caravan and camping site licence (300001),743,Caravan Sites and Control of Development Act 1960,6,743-6-1
300002,Caravan and camping site licence (300002),743,Caravans Act Northern Ireland 1963; s-269,4,746-4-1
300301,Caravan and camping site licence (300301),743,Caravan Sites and Control of Development Act 1960,6,743-6-1
300302,Caravan and camping site licence (300302),743,Caravans Act Northern Ireland 1963; s-269,4,746-4-1
1050001,Application to use street or pavement space for displays (1050001),744,"Highways Act 1980, Section 115B /115E",5,744-5-1
1050002,Application to use street or pavement space for displays (1050002),744,"Roads (Scotland) Act 1984,  Section 59",3,744-3-1
1050301,Application to use street or pavement space for displays (1050301),744,"Highways Act 1980, Section 115B /115E",5,744-5-1
1050302,Application to use street or pavement space for displays (1050302),744,"Roads (Scotland) Act 1984,  Section 59",3,744-3-1
270001,Busking licence (270001),797,London Local Authorities Act 2000,1,797-1-1
270111,Busking licence (270111),797,Test Local Act,1,remove
270121,Busking licence (270121),797,London Government Act 1963,1,797-1-1
270131,Busking licence (270131),797,Section 145 of the Local Government Act 1972,5,797-5-1
270141,Busking licence (270141),797,Byelaw in pursuance of section 249 of the Local Government Act 1933,5,797-5-1
270301,Busking licence (270301),797,London Local Authorities Act 2000,1,797-1-1
270411,Busking licence (270411),797,Test Local Act,1,remove
270421,Busking licence (270421),797,London Government Act 1963,1,797-1-1
270431,Busking licence (270431),797,Section 145 of the Local Government Act 1972,5,797-5-1
270441,Busking licence (270441),797,Byelaw in pursuance of section 249 of the Local Government Act 1933,5,797-5-1
1570001,Petroleum storage licence (1570001),810,Petroleum (Consolidation) Act 1928 as amended,6,810-6-1
1570002,Petroleum storage licence (1570002),810,Petroleum (Consolidation) Acts (Northern Ireland) 1929 and 1937,4,810-4-1
1570301,Petroleum storage licence (1570301),810,Petroleum (Consolidation) Act 1928 as amended,6,810-6-1
1570302,Petroleum storage licence (1570302),810,Petroleum (Consolidation) Acts (Northern Ireland) 1929 and 1937,4,810-4-1
1440001,Safety certificates for sports grounds (1440001),842,Safety of Sports Grounds Act 1975 (c- 52),6,842-6-1
